"来源","区块/页面","key","中文","English","备注"
"i18n","common","common.tutorial","玩法教學","How to Play",""
"i18n","common","common.footer.prefix","© 2026 香港理工大學 ","© 2026 ",""
"i18n","common","common.footer.link","應用社會科學系","Department of Applied Social Sciences (APSS), The Hong Kong Polytechnic University",""
"i18n","common","common.footer.suffix"," · 本網站僅供教學與研究用途"," · For educational and research use only",""
"i18n","home","home.eyebrow","Personalities Mahjong","Personalities Mahjong",""
"i18n","home","home.title","人格麻將","Personalities Mahjong",""
"i18n","home","home.intro","把人格測評、心理線索判斷與卡牌對戰編織在一起。先讀懂自己，再在牌桌上讀懂別人。","Personality assessment, psychological deduction, and card battles woven together. Read yourself first, then read others at the table.",""
"i18n","home","home.features[0].glyph","✦","✦",""
"i18n","home","home.features[0].title","自我評估","Self-Assessment",""
"i18n","home","home.features[0].note","先完成測評，得到你自己的五維傾向","Take the test first to reveal your five-factor tendencies",""
"i18n","home","home.features[1].glyph","◈","◈",""
"i18n","home","home.features[1].title","抽牌歸檔","Draw & Archive",""
"i18n","home","home.features[1].note","湊齊同一人格維度的手牌，公開歸檔","Collect cards of one personality dimension and archive them openly",""
"i18n","home","home.features[2].glyph","☽","☽",""
"i18n","home","home.features[2].title","識人破局","Read the Player",""
"i18n","home","home.features[2].note","對手的每張棄牌，都暴露了他的人格","Every card an opponent discards exposes their personality",""
"i18n","home","home.features[3].glyph","◐","◐",""
"i18n","home","home.features[3].title","單機 / 聯機雙模式","Solo / Online Modes",""
"i18n","home","home.features[3].note","一人對 AI 練手，也能與真人同桌博弈","Practice against AI, or duel real players at the same table",""
"i18n","home","home.cardEyebrow","人格牌陣","PERSONA SPREAD",""
"i18n","home","home.cardArcana","ARCANA OF SELF","ARCANA OF SELF",""
"i18n","home","home.cardTitle","人格鏡像","Mirror of Self",""
"i18n","home","home.cardBody","你的五維得分會轉化成不同維度的收集目標。每一張牌，既是自我描述，也是對手留下的線索。","Your five-factor scores become collection goals across dimensions. Every card is both a self-description and a clue you leave behind.",""
"i18n","home","home.pvp","聯機對戰","Play Online",""
"i18n","home","home.single","單機對戰","Play Solo",""
"i18n","home","home.needAssess","需先測評","assess first",""
"i18n","home","home.startAssess","開始測評","Start Assessment",""
"i18n","home","home.continueAssess","繼續測評","Continue",""
"i18n","home","home.reassess","重新測評","Retake Assessment",""
"i18n","home","home.report","查看人格報告","View Personality Report",""
"i18n","assessment","assessment.eyebrow","Persona Reading","Persona Reading",""
"i18n","assessment","assessment.title","抽取你的人格原型","Draw Your Persona Archetype",""
"i18n","assessment","assessment.intro","每一道陳述題都像翻開一張隱喻牌面。你給出的傾向，會在結尾匯聚成五維人格圖譜，並影響後續牌局目標。","Each statement is like turning over a metaphorical card. Your tendencies converge into a five-factor portrait that shapes your goals at the table.",""
"i18n","assessment","assessment.gateTitle","輸入學號","Enter Student ID",""
